adjective,chinese,definition
abusive,辱骂性的,"使用侮辱性词语谩骂、辱骂他人，如直接使用""傻逼""""废物""""畜生""等脏话进行人身攻击的言论。"
accommodating,迁就的,愿意理解或配合他人立场的态度，在讨论中表现出妥协或让步意愿的言论。
age discriminatory,年龄歧视的,基于年龄对他人进行区别对待或贬低的言论，如嘲笑老年人观念落后或歧视年轻人缺乏经验。
anti-disabled,反残疾人的,对残疾人群体表现出偏见、歧视或敌意，如嘲笑残疾、贬低残疾人价值的言论。
anti-feminist,反女权的,"反对女性权益主张的言论，如嘲讽女权运动、将女权主义者标签化为""女拳""""小仙女""等带有贬义的称呼。"
anti-queer,反酷儿的,"对LGBTQ+群体表现出偏见、歧视或敌意，如使用""基佬""""变态""等贬义称呼攻击性少数群体的言论。"
argumentative,好争辩的,倾向于争论或反驳他人观点，语气偏对抗但未达到人身攻击程度，如执意否定他人但缺乏实质论据。
awful,糟糕的,"使用强烈负面词语评价事物，如""太烂了""""垃圾""，需结合语境判断是否构成对他人的人身攻击。"
bitter,怨恨的,表达长期积压的不满、怨恨情绪，如对特定群体持续表达怨气，语气带苦涩但未必构成直接攻击。
body shaming,身体羞辱的,"基于他人身体特征进行嘲笑或贬低，如嘲笑体型""坦克""""肥猪""、攻击外貌的言论。"
bullying,欺凌性的,"通过反复的言语威胁、侮辱或压迫来伤害他人，如持续针对某人进行辱骂、""网暴""等具有压迫性的言论。"
challenging,挑战性的,对现有观点提出质疑或反驳，但以理据为基础而非人身攻击，属于理性讨论范畴。
charged with aggression,充满攻击性的,言语中蕴含强烈的敌意和对抗性，如充满火药味的指责、威胁或挑衅，极易引发冲突升级。
chauvinistic,沙文主义的,表现出自身群体优越感并贬低其他群体的言论，如宣扬本民族/性别/地域的绝对优越性并歧视他人。
condemning violence,谴责暴力的,明确反对暴力行为的言论，如批评家暴、反对打砸抢烧等，属于建设性表达。
condescending,居高临下的,"表现出优越感并轻视他人的态度，如以教导口吻说""你这种人懂什么""，带有隐性不尊重。"
conflictual,冲突性的,容易引发或加剧对立冲突的言论，如故意激化矛盾、制造群体间对立情绪的内容。
confrontational,对抗性的,表现出直接对抗态度，如正面对骂、针锋相对的言语交锋，容易激化矛盾。
considerate,体贴的,考虑他人感受的言论态度，在讨论中表现出对他人立场或情感的理解和尊重。
contemptuous,蔑视的,"表现出强烈不尊重或鄙视的态度，如用""你配吗""""就你？""等话语贬低他人价值和尊严。"
contradictory,矛盾的,言论内容前后冲突或不一致，本身属于逻辑问题，不直接构成有害言论。
